date,Ball One,Ball Two,Ball Three,Ball Four,Ball Five,payout
2011-02-01,9,16,29,10,26,57000
2011-02-02,11,27,6,29,34,95000
2011-02-03,33,12,20,15,19,133000
2011-02-04,38,23,30,31,20,193000
2011-02-05,13,23,22,2,17,259000
2011-02-06,1,33,10,34,32,318000
2011-02-07,39,28,25,29,20,50000
2011-02-08,19,11,3,24,6,63000
2011-02-09,34,37,13,10,12,50000
2011-02-10,30,10,3,32,20,60000
2011-02-11,31,8,36,21,39,98000
2011-02-12,5,18,13,1,17,150000
2011-02-13,17,33,38,29,20,50000
2011-02-14,38,20,4,22,13,54000
2011-02-15,18,21,27,9,17,87000
2011-02-16,11,33,38,25,30,50000
2011-02-17,19,20,14,34,26,50000
2011-02-18,10,4,26,11,33,60000
2011-02-19,6,10,29,3,12,100000
2011-02-20,15,26,9,37,17,50000
2011-02-21,22,20,8,1,7,53000
2011-02-22,34,11,35,15,21,78000
2011-02-23,23,30,27,1,12,118000
2011-02-24,21,4,34,20,14,163000
2011-02-25,19,39,11,15,10,216000
2011-02-26,10,7,36,17,38,50000
2011-02-27,23,35,38,22,37,59000
2011-02-28,6,31,24,21,11,86000
2011-03-01,27,37,28,4,35,124000
2011-03-02,26,12,27,7,37,176000
2011-03-03,14,7,20,6,32,223000
2011-03-04,3,12,31,32,24,295000
2011-03-05,29,28,19,4,23,376000
2011-03-06,4,17,20,7,38,450000
2011-03-07,38,20,12,36,8,50000
2011-03-08,23,19,33,39,27,61000
2011-03-09,10,23,2,3,11,50000
2011-03-10,9,27,32,16,15,63000
2011-03-11,6,25,11,24,9,93000
2011-03-12,24,11,12,5,22,141000
2011-03-13,33,29,30,36,8,178000
2011-03-14,6,15,36,16,21,224000
2011-03-15,31,18,32,17,19,295000
2011-03-16,33,1,27,38,17,373000
2011-03-17,27,23,6,10,12,458000
2011-03-18,26,7,16,21,35,577000
2011-03-19,19,23,30,24,32,50000
2011-03-20,18,28,30,11,22,58000
2011-03-21,19,17,37,34,22,88000
2011-03-22,12,17,25,19,5,50000
2011-03-23,39,6,32,5,23,62000
2011-03-24,37,29,23,26,34,92000
2011-03-25,16,19,28,29,8,138000
2011-03-26,26,2,5,31,24,200000
2011-03-27,26,11,1,13,4,235000
2011-03-28,2,33,32,27,3,294000
2011-03-29,25,29,18,39,36,365000
2011-03-30,21,6,36,28,24,50000
2011-03-31,8,14,23,6,16,64000
2011-04-01,24,36,16,29,19,100000
2011-04-02,23,36,27,19,28,50000
2011-04-03,26,5,3,31,16,60000
2011-04-04,11,20,2,25,32,50000
2011-04-05,5,20,23,29,1,57000
2011-04-06,34,30,19,2,32,92000
2011-04-07,3,4,6,2,24,130000
2011-04-08,23,1,39,15,28,177000
2011-04-09,18,17,27,31,7,234000
2011-04-10,25,13,6,3,33,50000
2011-04-11,19,27,20,22,10,53000
2011-04-12,19,29,17,38,21,80000
2011-04-13,21,4,15,9,16,122000
2011-04-14,36,20,24,10,38,164000
2011-04-15,12,1,18,15,2,218000
2011-04-16,18,37,34,16,19,284000
2011-04-17,38,24,28,16,31,318000
2011-04-18,22,14,21,4,12,395000
2011-04-19,19,13,10,6,39,494000
2011-04-20,15,38,22,28,35,601000
2011-04-21,31,14,37,11,9,751000
2011-04-22,8,7,17,39,38,50000
2011-04-23,28,6,21,34,37,74000
2011-04-24,38,23,31,21,16,93000
2011-04-25,28,29,4,32,36,126000
2011-04-26,18,24,39,5,22,176000
2011-04-27,12,37,27,29,31,240000
2011-04-28,15,6,25,12,1,298000
2011-04-29,4,12,19,26,17,380000
2011-04-30,1,13,17,12,35,472000
2011-05-01,5,14,27,39,1,544000
2011-05-02,29,16,10,11,2,674000
2011-05-03,29,4,17,14,2,816000
2011-05-04,10,5,3,25,6,1075000
2011-05-05,2,7,28,11,32,1355000
2011-05-06,4,12,15,36,13,50000
2011-05-07,18,14,33,21,22,88000
2011-05-08,23,20,25,38,17,108000
2011-05-09,29,11,15,24,35,151000
2011-05-10,24,34,3,22,4,208000
2011-05-11,35,5,1,16,10,282000
2011-05-12,16,9,7,3,24,352000
2011-05-13,30,12,6,37,20,455000
2011-05-14,34,19,22,16,8,572000
2011-05-15,25,19,21,9,32,636000
2011-05-16,27,20,10,11,6,769000
2011-05-17,36,18,5,33,20,50000
2011-05-18,15,30,6,18,1,50000
2011-05-19,19,3,6,15,2,67000
2011-05-20,4,3,27,18,11,107000
2011-05-21,7,31,14,1,36,166000
2011-05-22,11,1,2,33,12,202000
2011-05-23,16,38,37,31,28,50000
2011-05-24,11,5,2,14,25,63000
2011-05-25,6,11,25,7,8,50000
2011-05-26,4,21,36,18,11,62000
2011-05-27,37,30,27,8,20,50000
2011-05-28,33,27,16,17,11,50000
2011-05-29,35,14,32,2,5,56000
2011-05-30,13,9,34,30,3,84000
2011-05-31,7,17,28,22,11,117000
2011-06-01,7,6,21,8,13,170000
2011-06-02,2,1,9,18,30,223000
2011-06-03,8,4,35,2,17,50000
2011-06-04,10,23,36,33,25,73000
2011-06-05,34,26,2,12,35,98000
2011-06-06,37,26,39,14,2,141000
2011-06-07,18,13,7,24,33,50000
2011-06-08,11,2,38,21,10,50000
2011-06-09,8,10,29,30,5,50000
2011-06-10,25,17,18,23,14,59000
2011-06-11,31,5,17,16,33,98000
2011-06-12,30,19,21,9,18,50000
2011-06-13,1,33,4,6,13,53000
2011-06-14,33,17,16,35,30,83000
2011-06-15,21,4,18,9,5,123000
2011-06-16,24,2,18,9,34,50000
2011-06-17,11,29,26,27,28,60000
2011-06-18,19,4,24,7,22,99000
2011-06-19,32,38,34,24,31,126000
2011-06-20,29,9,32,5,31,168000
2011-06-21,5,10,29,11,16,221000
2011-06-22,31,34,36,6,23,50000
2011-06-23,17,29,16,35,22,58000
2011-06-24,12,27,37,24,14,91000
2011-06-25,26,34,24,4,38,142000
2011-06-26,15,31,27,19,28,173000
2011-06-27,18,8,17,24,4,50000
2011-06-28,38,37,35,16,24,56000
2011-06-29,3,16,1,35,5,87000
2011-06-30,9,4,5,38,35,120000
2011-07-01,12,34,4,27,11,169000
2011-07-02,24,30,13,1,2,229000
2011-07-03,6,24,12,1,34,271000
2011-07-04,36,9,5,35,32,50000
2011-07-05,36,10,22,28,1,55000
2011-07-06,30,14,9,34,20,89000
2011-07-07,1,3,39,24,27,124000
2011-07-08,38,7,25,9,14,177000
2011-07-09,27,16,20,26,21,236000
2011-07-10,34,15,30,14,35,50000
2011-07-11,4,11,17,35,31,53000
2011-07-12,35,39,3,11,9,81000
2011-07-13,5,38,19,28,34,121000
2011-07-14,36,11,25,19,37,166000
2011-07-15,18,37,28,4,39,218000
2011-07-16,18,7,38,1,12,283000
2011-07-17,13,6,1,16,23,329000
2011-07-18,28,16,17,24,36,50000
2011-07-19,12,34,37,23,7,55000
2011-07-20,19,29,13,33,9,87000
2011-07-21,28,37,30,19,15,121000
2011-07-22,17,11,16,28,9,172000
2011-07-23,28,14,26,5,38,233000
2011-07-24,11,9,33,20,26,278000
2011-07-25,9,5,10,32,17,50000
2011-07-26,8,29,17,6,33,57000
2011-07-27,16,25,29,7,9,50000
2011-07-28,17,30,19,2,31,58000
2011-07-29,31,5,30,16,37,89000
2011-07-30,18,15,25,28,8,134000
2011-07-31,21,24,11,39,15,50000
2011-08-01,39,10,13,33,38,53000
2011-08-02,17,25,30,13,26,81000
2011-08-03,6,8,22,39,9,122000
2011-08-04,14,36,11,37,9,175000
2011-08-05,39,20,25,6,3,227000
2011-08-06,17,16,6,30,11,300000
2011-08-07,24,13,16,4,28,360000
2011-08-08,36,33,18,28,2,50000
2011-08-09,19,13,24,20,30,60000
2011-08-10,31,30,33,25,23,92000
2011-08-11,36,12,32,37,30,132000
2011-08-12,18,1,13,30,35,185000
2011-08-13,29,35,33,3,31,247000
2011-08-14,11,33,37,26,39,50000
2011-08-15,16,2,20,30,5,54000
2011-08-16,24,19,25,36,16,84000
2011-08-17,39,18,37,33,14,125000
2011-08-18,37,14,20,2,16,175000
2011-08-19,22,29,33,11,17,228000
2011-08-20,12,26,14,9,4,50000
2011-08-21,20,17,28,31,18,56000
2011-08-22,27,1,35,37,25,86000
2011-08-23,14,2,27,29,20,121000
2011-08-24,33,22,9,6,8,172000
2011-08-25,26,1,32,24,38,223000
2011-08-26,14,16,13,7,34,291000
2011-08-27,19,1,28,11,21,364000
2011-08-28,13,35,26,17,19,399000
2011-08-29,21,31,22,14,26,502000
2011-08-30,12,2,1,8,24,650000
2011-08-31,19,23,2,38,3,50000
2011-09-01,20,25,37,28,15,65000
2011-09-02,10,4,14,18,23,100000
2011-09-03,24,13,3,38,1,163000
2011-09-04,37,8,31,34,29,196000
2011-09-05,20,7,13,19,38,259000
2011-09-06,34,24,20,19,33,50000
2011-09-07,37,10,6,22,4,65000
2011-09-08,19,35,11,24,30,50000
2011-09-09,19,11,36,37,32,60000
2011-09-10,24,15,11,31,27,100000
2011-09-11,18,10,31,8,1,50000
2011-09-12,39,2,32,21,17,53000
2011-09-13,1,39,37,25,14,84000
2011-09-14,22,13,33,14,4,124000
2011-09-15,32,30,36,17,1,174000
2011-09-16,10,2,11,15,5,230000
2011-09-17,10,26,23,25,22,308000
2011-09-18,19,10,37,31,8,50000
2011-09-19,1,20,7,25,22,53000
2011-09-20,26,7,22,18,31,83000
2011-09-21,2,36,8,9,22,127000
2011-09-22,17,36,11,37,18,178000
2011-09-23,6,5,1,11,30,232000
2011-09-24,12,16,39,18,19,50000
2011-09-25,3,15,22,20,34,57000
2011-09-26,36,39,35,4,8,86000
2011-09-27,6,27,30,29,1,50000
2011-09-28,2,20,35,1,16,61000
2011-09-29,38,9,25,34,27,50000
2011-09-30,7,17,1,4,25,57000
2011-10-01,2,21,16,9,14,50000
2011-10-02,24,37,13,36,15,55000
2011-10-03,33,35,2,19,15,82000
2011-10-04,39,16,28,34,18,123000
2011-10-05,27,7,14,17,2,50000
2011-10-06,7,34,22,17,20,62000
2011-10-07,3,33,28,24,4,97000
2011-10-08,25,13,8,31,19,147000
2011-10-09,27,35,26,23,6,182000
2011-10-10,12,20,33,19,31,234000
2011-10-11,13,11,27,26,18,50000
2011-10-12,12,17,32,1,10,62000
2011-10-13,7,25,36,8,30,91000
2011-10-14,9,3,14,18,20,135000
2011-10-15,11,16,15,34,3,194000
2011-10-16,8,26,1,9,23,232000
2011-10-17,19,14,6,35,5,298000
2011-10-18,30,26,31,25,34,50000
2011-10-19,10,5,1,29,34,63000
2011-10-20,23,25,26,2,37,50000
2011-10-21,24,3,16,27,18,58000
2011-10-22,1,14,32,31,19,97000
2011-10-23,37,16,21,10,22,126000
2011-10-24,24,21,14,39,2,172000
2011-10-25,25,2,13,33,1,228000
2011-10-26,1,27,14,22,18,296000
2011-10-27,5,6,39,15,12,373000
2011-10-28,28,39,5,15,34,50000
2011-10-29,30,28,15,8,24,73000
2011-10-30,37,28,7,39,17,95000
2011-10-31,6,31,36,13,17,136000
2011-11-01,27,8,19,31,15,184000
2011-11-02,27,33,25,14,37,249000
2011-11-03,32,21,7,8,29,322000
2011-11-04,11,4,37,32,31,50000
2011-11-05,31,37,24,20,11,77000
2011-11-06,25,14,17,11,16,50000
2011-11-07,29,39,1,2,32,57000
2011-11-08,36,37,10,20,13,50000
2011-11-09,10,15,39,30,4,65000
2011-11-10,9,4,12,27,32,98000
2011-11-11,29,6,11,27,4,50000
2011-11-12,1,15,29,32,35,73000
2011-11-13,20,21,37,2,29,98000
2011-11-14,39,10,6,11,13,138000
2011-11-15,21,17,1,7,39,185000
2011-11-16,14,31,11,18,24,245000
2011-11-17,15,27,20,31,38,314000
2011-11-18,20,5,1,28,25,403000
2011-11-19,8,35,22,33,7,522000
2011-11-20,23,25,30,32,31,614000
2011-11-21,28,19,11,34,38,50000
2011-11-22,29,37,10,23,5,63000
2011-11-23,3,20,18,9,7,102000
2011-11-24,7,24,14,11,25,157000
2011-11-25,15,36,34,37,5,185000
2011-11-26,16,36,26,11,6,255000
2011-11-27,6,25,27,28,29,50000
2011-11-28,36,31,3,35,19,50000
2011-11-29,5,7,1,16,27,57000
2011-11-30,8,37,9,21,33,93000
2011-12-01,8,5,16,11,30,134000
2011-12-02,11,10,32,21,20,50000
2011-12-03,32,33,23,11,35,68000
2011-12-04,2,7,1,26,36,98000
2011-12-05,9,5,19,15,11,141000
2011-12-06,33,9,2,10,19,198000
2011-12-07,5,9,25,28,24,266000
2011-12-08,16,38,19,5,35,50000
2011-12-09,34,30,26,19,17,62000
2011-12-10,10,27,21,31,19,50000
2011-12-11,17,28,16,20,1,58000
2011-12-12,11,5,14,2,37,89000
2011-12-13,13,18,33,26,7,127000
2011-12-14,10,23,16,1,31,50000
2011-12-15,18,1,30,34,4,50000
2011-12-16,22,29,9,5,4,59000
2011-12-17,27,32,22,35,28,100000
2011-12-18,4,5,21,37,9,135000
2011-12-19,36,34,1,33,8,182000
2011-12-20,39,22,24,29,36,240000
2011-12-21,27,18,3,4,22,322000
2011-12-22,8,14,27,34,3,405000
2011-12-23,9,5,10,6,34,535000
2011-12-24,14,11,16,3,8,50000
2011-12-25,33,26,30,21,27,57000
2011-12-26,26,20,32,14,10,80000
2011-12-27,15,28,38,19,36,120000
2011-12-28,1,14,33,29,39,180000
2011-12-29,26,32,6,18,4,234000
2011-12-30,24,28,12,29,14,320000
2011-12-31,18,26,7,12,2,420000
2012-01-01,7,37,24,5,9,50000
2012-01-02,36,32,23,22,35,55000
2012-01-03,30,12,19,20,28,88000
2012-01-04,13,32,9,34,29,139000
2012-01-05,11,38,25,32,9,50000
2012-01-06,14,4,31,35,37,66000
2012-01-07,37,14,20,27,35,50000
2012-01-08,22,38,5,29,28,65000
2012-01-09,21,39,31,36,35,95000
2012-01-10,20,7,23,38,4,137000
2012-01-11,34,15,14,4,25,196000
2012-01-12,10,6,12,37,13,50000
2012-01-13,17,21,13,29,30,63000
2012-01-14,36,33,12,14,10,50000
2012-01-15,1,30,15,28,5,58000
2012-01-16,2,8,22,33,6,86000
2012-01-17,36,33,6,11,3,122000
2012-01-18,5,32,27,7,8,50000
2012-01-19,10,18,4,39,33,59000
2012-01-20,30,8,7,5,16,90000
2012-01-21,34,12,19,9,30,141000
2012-01-22,28,37,2,10,15,178000
2012-01-23,39,34,17,5,7,229000
2012-01-24,14,16,27,18,6,291000
2012-01-25,34,32,29,31,28,362000
2012-01-26,25,23,29,6,13,446000
2012-01-27,28,37,34,16,25,50000
2012-01-28,39,32,18,37,12,50000
2012-01-29,3,39,26,15,6,55000
2012-01-30,12,35,18,28,39,85000
2012-01-31,37,23,26,22,4,124000
2012-02-01,3,12,16,23,25,50000
2012-02-02,36,27,18,23,9,50000
2012-02-03,18,28,30,14,20,50000
2012-02-04,10,6,24,26,39,67000
2012-02-05,31,28,34,10,23,99000
2012-02-06,39,29,1,20,9,141000
2012-02-07,32,4,11,39,33,187000
2012-02-08,30,33,21,10,7,250000
2012-02-09,37,10,4,15,39,327000
2012-02-10,1,10,28,38,23,429000
2012-02-11,28,39,1,10,30,561000
2012-02-12,5,11,39,2,25,50000
2012-02-13,36,6,35,24,8,59000
2012-02-14,2,5,12,26,27,92000
2012-02-15,15,8,11,34,39,142000
2012-02-16,33,22,10,11,17,199000
2012-02-17,3,34,27,35,10,50000
2012-02-18,20,36,38,4,8,76000
2012-02-19,32,37,13,16,31,106000
2012-02-20,3,39,28,4,32,153000
2012-02-21,8,2,19,17,30,50000
2012-02-22,1,16,29,35,5,68000
2012-02-23,32,14,15,22,12,103000
2012-02-24,27,25,21,13,4,157000
2012-02-25,1,24,12,25,26,224000
2012-02-26,35,11,24,10,20,277000
2012-02-27,26,16,19,30,37,348000
2012-02-28,32,21,30,31,15,50000
2012-02-29,22,26,37,7,32,69000
2012-03-01,4,32,7,12,33,104000
2012-03-02,9,13,12,1,14,163000
2012-03-03,12,17,14,11,20,231000
2012-03-04,14,22,32,35,29,50000
2012-03-05,30,27,12,25,14,58000
2012-03-06,10,21,35,6,32,93000
2012-03-07,18,37,27,28,35,50000
2012-03-08,10,16,23,8,17,66000
2012-03-09,4,21,12,15,31,50000
2012-03-10,16,21,14,28,25,50000
2012-03-11,23,22,29,34,24,59000
2012-03-12,23,39,27,1,31,87000
2012-03-13,10,22,32,24,25,130000
2012-03-14,19,35,6,2,24,190000
2012-03-15,28,35,30,31,23,244000
2012-03-16,14,20,12,7,3,322000
2012-03-17,14,28,16,20,22,50000
2012-03-18,12,9,38,27,7,58000
2012-03-19,9,20,36,2,6,88000
2012-03-20,10,34,9,13,20,50000
2012-03-21,26,7,28,23,17,66000
2012-03-22,29,8,18,21,9,95000
2012-03-23,24,14,25,23,6,137000
2012-03-24,18,34,4,25,16,204000
2012-03-25,6,11,27,39,23,249000
2012-03-26,36,38,28,12,13,313000
2012-03-27,7,27,4,9,34,407000
2012-03-28,9,6,11,38,36,541000
2012-03-29,15,2,29,17,21,680000
2012-03-30,23,17,22,11,1,50000
2012-03-31,10,22,31,34,36,97000
2012-04-01,26,9,20,39,8,120000
2012-04-02,2,9,38,32,39,168000
2012-04-03,13,26,30,16,14,226000
2012-04-04,32,8,11,5,6,50000
2012-04-05,25,36,17,2,8,50000
2012-04-06,26,33,25,21,39,50000
2012-04-07,36,10,15,24,17,74000
2012-04-08,11,16,36,19,22,101000
2012-04-09,39,28,15,18,7,144000
2012-04-10,27,21,12,4,28,203000
2012-04-11,18,34,13,14,33,50000
2012-04-12,6,27,3,21,1,64000
2012-04-13,8,19,11,23,7,104000
2012-04-14,2,29,31,8,30,50000
2012-04-15,13,28,24,12,32,57000
2012-04-16,10,22,28,6,4,104000
2012-04-17,22,20,32,38,36,138000
2012-04-18,16,11,24,12,10,50000
2012-04-19,15,4,26,3,2,65000
2012-04-20,26,12,18,4,24,102000
2012-04-21,4,25,26,33,9,50000
2012-04-22,21,7,20,19,22,57000
2012-04-23,25,32,2,4,18,87000
2012-04-24,35,5,15,20,12,128000
2012-04-25,39,3,24,17,10,50000
2012-04-26,1,27,11,13,23,50000
2012-04-27,15,21,11,10,38,60000
2012-04-28,20,29,6,15,27,50000
2012-04-29,32,27,16,36,34,56000
2012-04-30,17,2,30,16,37,50000
2012-05-01,12,11,24,32,23,50000
2012-05-02,32,12,9,33,3,67000
2012-05-03,2,27,12,35,32,50000
2012-05-04,21,19,5,28,34,63000
2012-05-05,30,27,29,18,25,105000
2012-05-06,20,35,29,3,30,136000
2012-05-07,1,28,22,5,3,180000
2012-05-08,13,14,7,35,38,50000
2012-05-09,22,10,8,34,7,65000
2012-05-10,37,5,12,16,2,101000
2012-05-11,38,30,4,35,1,148000
2012-05-12,21,7,28,4,8,207000
2012-05-13,31,17,27,2,35,250000
2012-05-14,38,30,8,4,21,50000
2012-05-15,5,18,32,4,24,74000
2012-05-16,11,25,26,17,33,102000
2012-05-17,5,21,17,24,6,149000
2012-05-18,28,15,26,9,38,202000
2012-05-19,15,16,20,21,14,50000
2012-05-20,29,35,6,9,20,53000
2012-05-21,38,14,29,3,4,72000
2012-05-22,5,18,1,7,20,118000
2012-05-23,31,12,14,27,20,174000
2012-05-24,38,33,4,37,2,226000
2012-05-25,17,8,30,34,37,293000
2012-05-26,35,27,38,20,36,376000
2012-05-27,22,26,37,4,24,439000
2012-05-28,34,14,6,9,37,543000
2012-05-29,20,32,11,26,18,50000
2012-05-30,5,37,18,35,11,65000
2012-05-31,39,36,28,16,23,91000
2012-06-01,1,2,35,22,33,136000
2012-06-02,15,26,35,19,31,206000
2012-06-03,15,9,35,29,28,252000
2012-06-04,26,1,22,9,20,329000
2012-06-05,36,31,32,39,19,434000
2012-06-06,15,8,34,29,14,544000
2012-06-07,3,36,12,22,19,50000
2012-06-08,8,30,25,31,27,50000
2012-06-09,18,32,5,35,22,67000
2012-06-10,38,17,26,5,39,90000
2012-06-11,39,36,1,8,23,50000
2012-06-12,16,19,20,37,22,50000
2012-06-13,29,21,38,11,18,62000
2012-06-14,14,22,3,27,15,92000
2012-06-15,21,25,18,17,6,50000
2012-06-16,38,26,32,28,13,66000
2012-06-17,37,29,18,35,34,88000
2012-06-18,13,11,28,23,8,125000
2012-06-19,30,29,3,22,11,174000
2012-06-20,32,7,38,24,30,238000
2012-06-21,36,28,22,37,3,50000
2012-06-22,19,8,31,22,24,60000
2012-06-23,14,16,18,6,27,104000
2012-06-24,31,35,5,32,8,50000
2012-06-25,19,29,5,26,27,50000
2012-06-26,20,1,25,16,37,53000
2012-06-27,26,20,7,38,6,89000
2012-06-28,21,15,39,26,24,124000
2012-06-29,4,17,30,14,36,178000
2012-06-30,10,36,31,3,16,241000
2012-07-01,7,13,14,33,39,50000
2012-07-02,12,9,38,36,23,53000
2012-07-03,33,20,37,24,15,82000
2012-07-04,6,27,32,28,5,134000
2012-07-05,13,27,10,18,25,172000
2012-07-06,8,22,11,32,12,228000
2012-07-07,22,4,18,38,29,304000
2012-07-08,26,24,2,35,7,50000
2012-07-09,18,35,7,8,29,53000
2012-07-10,13,29,5,37,24,80000
2012-07-11,19,15,14,6,39,124000
2012-07-12,26,35,5,14,34,173000
2012-07-13,33,4,38,18,31,230000
2012-07-14,3,5,9,35,6,50000
2012-07-15,1,35,12,20,3,56000
2012-07-16,6,20,24,7,10,83000
2012-07-17,15,7,22,31,39,50000
2012-07-18,4,10,23,34,27,62000
2012-07-19,33,8,1,36,15,50000
2012-07-20,15,16,2,39,38,59000
2012-07-21,26,5,19,3,39,104000
2012-07-22,11,1,23,6,7,50000
2012-07-23,16,30,8,6,38,50000
2012-07-24,24,20,5,4,26,53000
2012-07-25,30,5,19,13,35,90000
2012-07-26,26,30,9,10,17,50000
2012-07-27,38,13,21,23,8,60000
2012-07-28,17,33,12,7,10,50000
2012-07-29,38,27,25,3,8,55000
2012-07-30,7,11,22,39,8,81000
2012-07-31,1,24,37,20,28,122000
2012-08-01,18,25,32,35,27,179000
2012-08-02,22,38,11,17,37,235000
2012-08-03,19,25,39,34,17,310000
2012-08-04,8,23,22,9,13,50000
2012-08-05,31,17,23,2,19,61000
2012-08-06,34,20,26,18,5,50000
2012-08-07,7,30,34,38,17,50000
2012-08-08,35,1,33,13,23,66000
2012-08-09,21,10,6,9,35,100000
2012-08-10,9,37,14,24,31,158000
2012-08-11,37,23,9,12,27,222000
2012-08-12,29,13,30,27,22,50000
2012-08-13,8,17,16,9,6,50000
2012-08-14,7,26,12,10,4,57000
2012-08-15,10,38,16,23,9,97000
2012-08-16,36,1,27,5,26,156000
2012-08-17,26,23,34,35,12,203000
2012-08-18,23,29,33,37,34,282000
2012-08-19,38,4,12,20,2,338000
2012-08-20,33,31,17,12,38,433000
2012-08-21,39,21,1,29,6,580000
2012-08-22,12,17,23,33,1,737000
2012-08-23,13,27,9,38,17,50000
2012-08-24,14,32,16,8,15,50000
2012-08-25,18,10,1,27,37,80000
2012-08-26,14,2,33,38,13,111000
2012-08-27,33,23,29,4,13,160000
2012-08-28,27,17,21,14,10,221000
2012-08-29,17,7,16,25,33,308000
2012-08-30,8,32,7,29,19,397000
2012-08-31,4,11,17,9,8,506000
2012-09-01,8,18,28,35,19,665000
2012-09-02,14,25,37,11,26,50000
2012-09-03,14,1,39,11,36,63000
2012-09-04,39,6,26,22,16,96000
2012-09-05,26,7,31,23,17,162000
2012-09-06,37,35,36,20,9,224000
2012-09-07,16,21,34,5,4,50000
2012-09-08,28,37,18,14,30,50000
2012-09-09,14,1,15,32,36,65000
2012-09-10,19,33,8,31,36,106000
2012-09-11,21,15,2,30,13,163000
2012-09-12,4,19,18,7,10,237000
2012-09-13,14,8,35,12,31,50000
2012-09-14,33,16,36,24,29,75000
2012-09-15,19,25,13,24,30,131000
2012-09-16,17,1,30,21,34,175000
2012-09-17,33,36,16,24,1,50000
2012-09-18,31,9,32,23,21,68000
2012-09-19,31,28,11,20,34,116000
2012-09-20,35,27,19,15,17,172000
2012-09-21,11,37,20,29,23,234000
2012-09-22,27,24,21,3,11,321000
2012-09-23,36,11,27,25,19,50000
2012-09-24,16,18,12,33,29,57000
2012-09-25,11,30,7,26,8,92000
2012-09-26,29,34,5,31,23,147000
2012-09-27,10,37,7,29,16,205000
2012-09-28,26,31,39,12,24,275000
2012-09-29,4,23,6,11,2,365000
2012-09-30,10,35,1,8,7,50000
2012-10-01,28,10,15,13,34,59000
2012-10-02,1,22,18,10,3,93000
2012-10-03,4,2,9,34,20,157000
2012-10-04,27,9,7,20,32,223000
2012-10-05,21,22,1,29,9,50000
2012-10-06,27,24,19,13,11,84000
2012-10-07,37,29,10,22,21,116000
2012-10-08,37,18,3,28,20,161000
2012-10-09,17,9,30,37,31,216000
2012-10-10,37,15,22,24,25,50000
2012-10-11,3,23,36,5,21,71000
2012-10-12,16,15,39,38,27,50000
2012-10-13,10,12,36,6,4,81000
2012-10-14,27,5,35,28,16,50000
2012-10-15,5,25,4,22,20,56000
2012-10-16,14,4,32,13,36,91000
2012-10-17,22,21,24,5,31,143000
2012-10-18,32,33,25,22,13,200000
2012-10-19,16,26,9,15,1,275000
2012-10-20,8,14,16,2,11,360000
2012-10-21,2,38,13,1,26,50000
2012-10-22,7,34,29,19,11,54000
2012-10-23,12,34,13,7,32,88000
2012-10-24,17,12,13,25,35,134000
2012-10-25,10,3,25,19,17,193000
2012-10-26,34,15,31,32,6,258000
2012-10-27,19,13,11,38,9,348000
2012-10-28,20,28,32,37,19,50000
2012-10-29,26,8,30,11,5,57000
2012-10-30,37,12,38,18,29,91000
2012-10-31,19,32,15,7,13,50000
2012-11-01,12,16,18,4,23,70000
2012-11-02,16,26,29,19,24,50000
2012-11-03,15,19,33,12,9,87000
2012-11-04,33,14,23,16,38,120000
2012-11-05,38,30,12,27,34,168000
2012-11-06,1,27,22,33,26,230000
2012-11-07,39,24,13,11,15,50000
2012-11-08,25,7,11,3,6,69000
2012-11-09,16,27,32,33,31,50000
2012-11-10,13,1,5,8,33,78000
2012-11-11,3,37,29,6,2,109000
2012-11-12,30,12,13,4,34,154000
2012-11-13,24,18,26,13,1,50000
2012-11-14,26,22,13,33,12,70000
2012-11-15,31,30,15,18,24,106000
2012-11-16,10,34,12,3,36,157000
2012-11-17,23,15,35,14,36,50000
2012-11-18,35,8,11,15,27,63000
2012-11-19,7,29,16,36,21,90000
2012-11-20,30,10,18,5,27,132000
2012-11-21,4,28,14,3,15,50000
2012-11-22,28,20,4,10,11,72000
2012-11-23,24,28,30,8,27,50000
2012-11-24,22,20,3,19,9,50000
2012-11-25,34,23,15,32,26,65000
2012-11-26,36,8,30,4,39,91000
2012-11-27,26,5,37,15,25,136000
2012-11-28,26,38,19,15,27,199000
2012-11-29,2,19,29,26,25,285000
2012-11-30,21,24,33,16,14,344000
2012-12-01,5,30,8,33,31,449000
2012-12-02,25,32,17,5,7,50000
2012-12-03,19,30,12,18,31,65000
2012-12-04,35,4,13,16,6,109000
2012-12-05,5,11,20,17,37,50000
2012-12-06,31,5,27,29,37,74000
2012-12-07,38,26,23,4,22,50000
2012-12-08,38,25,26,1,16,84000
2012-12-09,18,31,4,20,17,119000
2012-12-10,17,4,13,25,7,168000
2012-12-11,28,5,19,4,16,230000
2012-12-12,8,1,30,35,7,314000
2012-12-13,9,25,32,14,35,417000
2012-12-14,19,38,13,1,6,50000
2012-12-15,7,11,31,21,39,83000
2012-12-16,34,39,17,6,37,50000
2012-12-17,26,23,27,29,33,55000
2012-12-18,36,27,2,33,10,50000
2012-12-19,2,10,29,38,32,72000
2012-12-20,29,33,34,2,22,111000
2012-12-21,13,26,16,8,3,50000
2012-12-22,20,9,1,33,6,50000
2012-12-23,17,1,10,31,4,65000
2012-12-24,13,3,29,26,31,93000
2012-12-25,13,21,22,7,20,159000
2012-12-26,5,36,7,23,28,173000
2012-12-27,36,16,34,32,11,257000
2012-12-28,14,2,4,28,13,352000
2012-12-29,34,10,1,38,24,465000
